dataset,instance,method,cost,lb,gap,time_s
Lee_upsidedown,R011606_0070_001.txt,OriginalModel,5396.4,5239.2,3.0,0.631
Lee_upsidedown,R011606_0070_001.txt,ZeroShot,5320.8,5239.2,1.56,0.734
Lee_upsidedown,R011606_0070_001.txt,Lin2015,5623.2,5239.2,7.33,0.242
Lee_upsidedown,R011606_0070_001.txt,Kim2016,5967.6,5239.2,13.9,0.238
Lee_upsidedown,R011606_0070_001.txt,Leveling,6274.8,5239.2,19.77,0.293
Lee_upsidedown,R011606_0070_001.txt,Durasevic2025,6000.0,5239.2,14.52,0.285
Lee_upsidedown,R011606_0070_001.txt,NearestStack,7002.0,5239.2,33.65,0.174
Lee_upsidedown,R011606_0070_001.txt,LowestHeight,6225.6,5239.2,18.83,0.125
Lee_upsidedown,R011606_0070_002.txt,OriginalModel,5575.2,5182.8,7.57,0.588
Lee_upsidedown,R011606_0070_002.txt,ZeroShot,5528.4,5182.8,6.67,0.588
Lee_upsidedown,R011606_0070_002.txt,Lin2015,5720.4,5182.8,10.37,0.244
Lee_upsidedown,R011606_0070_002.txt,Kim2016,5947.2,5182.8,14.75,0.221
Lee_upsidedown,R011606_0070_002.txt,Leveling,6584.4,5182.8,27.04,0.265
Lee_upsidedown,R011606_0070_002.txt,Durasevic2025,5965.2,5182.8,15.1,0.268
Lee_upsidedown,R011606_0070_002.txt,NearestStack,7075.2,5182.8,36.51,0.171
Lee_upsidedown,R011606_0070_002.txt,LowestHeight,6423.6,5182.8,23.94,0.126
Lee_upsidedown,R011608_0090_001.txt,OriginalModel,7654.8,6931.2,10.44,0.779
Lee_upsidedown,R011608_0090_001.txt,ZeroShot,7611.6,6931.2,9.82,0.942
Lee_upsidedown,R011608_0090_001.txt,Lin2015,7467.6,6931.2,7.74,0.332
Lee_upsidedown,R011608_0090_001.txt,Kim2016,8426.4,6931.2,21.57,0.37
Lee_upsidedown,R011608_0090_001.txt,Leveling,8714.4,6931.2,25.73,0.401
Lee_upsidedown,R011608_0090_001.txt,Durasevic2025,7888.8,6931.2,13.82,0.362
Lee_upsidedown,R011608_0090_001.txt,NearestStack,8646.0,6931.2,24.74,0.203
Lee_upsidedown,R011608_0090_001.txt,LowestHeight,8426.4,6931.2,21.57,0.188
Lee_upsidedown,R011608_0090_002.txt,OriginalModel,7809.6,7027.2,11.13,0.856
Lee_upsidedown,R011608_0090_002.txt,ZeroShot,7767.6,7027.2,10.54,0.955
Lee_upsidedown,R011608_0090_002.txt,Lin2015,7903.2,7027.2,12.47,0.318
Lee_upsidedown,R011608_0090_002.txt,Kim2016,8538.0,7027.2,21.5,0.309
Lee_upsidedown,R011608_0090_002.txt,Leveling,8785.2,7027.2,25.02,0.402
Lee_upsidedown,R011608_0090_002.txt,Durasevic2025,8098.8,7027.2,15.25,0.375
Lee_upsidedown,R011608_0090_002.txt,NearestStack,9430.8,7027.2,34.2,0.235
Lee_upsidedown,R011608_0090_002.txt,LowestHeight,9236.4,7027.2,31.44,0.188
Lee_upsidedown,R021606_0140_001.txt,OriginalModel,14110.2,13449.0,4.92,1.375
Lee_upsidedown,R021606_0140_001.txt,ZeroShot,13946.4,13449.0,3.7,1.307
Lee_upsidedown,R021606_0140_001.txt,Lin2015,15359.4,13449.0,14.2,0.607
Lee_upsidedown,R021606_0140_001.txt,Kim2016,18708.3,13449.0,39.11,0.551
Lee_upsidedown,R021606_0140_001.txt,Leveling,15425.4,13449.0,14.7,0.746
Lee_upsidedown,R021606_0140_001.txt,Durasevic2025,23679.9,13449.0,76.07,0.684
Lee_upsidedown,R021606_0140_001.txt,NearestStack,21838.8,13449.0,62.38,0.346
Lee_upsidedown,R021606_0140_001.txt,LowestHeight,20737.5,13449.0,54.19,0.273
Lee_upsidedown,R021606_0140_002.txt,OriginalModel,14238.3,13620.3,4.54,1.226
Lee_upsidedown,R021606_0140_002.txt,ZeroShot,14062.5,13620.3,3.25,1.244
Lee_upsidedown,R021606_0140_002.txt,Lin2015,16091.7,13620.3,18.15,0.597
Lee_upsidedown,R021606_0140_002.txt,Kim2016,19368.9,13620.3,42.21,0.614
Lee_upsidedown,R021606_0140_002.txt,Leveling,15603.9,13620.3,14.56,0.767
Lee_upsidedown,R021606_0140_002.txt,Durasevic2025,23304.0,13620.3,71.1,0.728
Lee_upsidedown,R021606_0140_002.txt,NearestStack,22351.2,13620.3,64.1,0.383
Lee_upsidedown,R021606_0140_002.txt,LowestHeight,21143.1,13620.3,55.23,0.262
Lee_upsidedown,R021608_0190_001.txt,OriginalModel,19866.3,18648.3,6.53,2.06
Lee_upsidedown,R021608_0190_001.txt,ZeroShot,19652.1,18648.3,5.38,1.889
Lee_upsidedown,R021608_0190_001.txt,Lin2015,23560.5,18648.3,26.34,0.97
Lee_upsidedown,R021608_0190_001.txt,Kim2016,28005.9,18648.3,50.18,0.832
Lee_upsidedown,R021608_0190_001.txt,Leveling,22482.3,18648.3,20.56,1.254
Lee_upsidedown,R021608_0190_001.txt,Durasevic2025,32031.0,18648.3,71.76,0.986
