instance,n_cranes,method,cost,lb_mc,gap,interference,n_steps,time_s
mc_R011606_001_c2.txt,2,ZS+S2,4713.6,4686.9,0.57,0.0,37,0.0
mc_R011606_001_c2.txt,2,M-Lin2015,4771.2,4686.9,1.8,0.0,0,0.387
mc_R011606_001_c3.txt,3,ZS+S2,4713.6,4742.4,-0.61,0.0,37,0.0
mc_R011606_001_c3.txt,3,M-Lin2015,4771.2,4742.4,0.61,0.0,0,0.365
mc_R011606_002_c2.txt,2,ZS+S2,4848.0,4733.1,2.43,0.0,38,0.0
mc_R011606_002_c2.txt,2,M-Lin2015,4928.4,4733.1,4.13,0.0,0,0.387
mc_R011606_002_c3.txt,3,ZS+S2,4848.0,4796.0,1.08,0.0,38,0.0
mc_R011606_002_c3.txt,3,M-Lin2015,4928.4,4796.0,2.76,0.0,0,0.411
mc_R011606_003_c2.txt,2,ZS+S2,4792.8,4788.3,0.09,0.0,41,0.0
mc_R011606_003_c2.txt,2,M-Lin2015,5092.8,4788.3,6.36,0.0,0,0.412
mc_R011606_003_c3.txt,3,ZS+S2,4792.8,4851.2,-1.2,0.0,41,0.0
mc_R011606_003_c3.txt,3,M-Lin2015,5092.8,4851.2,4.98,0.0,0,0.402
mc_R011606_004_c2.txt,2,ZS+S2,5114.4,4925.7,3.83,0.0,49,0.0
mc_R011606_004_c2.txt,2,M-Lin2015,5256.0,4925.7,6.71,0.0,0,0.475
mc_R011606_004_c3.txt,3,ZS+S2,5114.4,4996.0,2.37,0.0,49,0.0
mc_R011606_004_c3.txt,3,M-Lin2015,5256.0,4996.0,5.2,0.0,0,0.487
mc_R011606_005_c2.txt,2,ZS+S2,4881.6,4758.6,2.58,0.0,42,0.0
mc_R011606_005_c2.txt,2,M-Lin2015,5067.6,4758.6,6.49,0.0,0,0.398
mc_R011606_005_c3.txt,3,ZS+S2,4881.6,4825.2,1.17,0.0,42,0.0
mc_R011606_005_c3.txt,3,M-Lin2015,5067.6,4825.2,5.02,0.0,0,0.407
mc_R011608_001_c2.txt,2,ZS+S2,6802.8,6440.5,5.62,0.0,69,0.0
mc_R011608_001_c2.txt,2,M-Lin2015,7021.2,6440.5,9.02,0.0,0,0.645
mc_R011608_001_c3.txt,3,ZS+S2,6802.8,6538.6,4.04,0.0,69,0.0
mc_R011608_001_c3.txt,3,M-Lin2015,7021.2,6538.6,7.38,0.0,0,0.624
mc_R011608_002_c2.txt,2,ZS+S2,6666.0,6366.8,4.7,0.0,64,0.0
mc_R011608_002_c2.txt,2,M-Lin2015,6686.4,6366.8,5.02,0.0,0,0.586
mc_R011608_002_c3.txt,3,ZS+S2,6666.0,6457.4,3.23,0.0,64,0.0
mc_R011608_002_c3.txt,3,M-Lin2015,6686.4,6457.4,3.55,0.0,0,0.582
mc_R011608_003_c2.txt,2,ZS+S2,6912.0,6675.0,3.55,0.0,70,0.0
mc_R011608_003_c2.txt,2,M-Lin2015,7190.4,6675.0,7.72,0.0,0,0.604
mc_R011608_003_c3.txt,3,ZS+S2,6912.0,6771.2,2.08,0.0,70,0.0
mc_R011608_003_c3.txt,3,M-Lin2015,7190.4,6771.2,6.19,0.0,0,0.619
mc_R011608_004_c2.txt,2,ZS+S2,6607.2,6528.1,1.21,0.0,63,0.0
mc_R011608_004_c2.txt,2,M-Lin2015,6716.4,6528.1,2.88,0.0,0,0.602
mc_R011608_004_c3.txt,3,ZS+S2,6607.2,6626.2,-0.29,0.0,63,0.0
mc_R011608_004_c3.txt,3,M-Lin2015,6716.4,6626.2,1.36,0.0,0,0.587
mc_R011608_005_c2.txt,2,ZS+S2,6752.4,6474.1,4.3,0.0,64,0.0
mc_R011608_005_c2.txt,2,M-Lin2015,6966.0,6474.1,7.6,0.0,0,0.613
mc_R011608_005_c3.txt,3,ZS+S2,6752.4,6572.2,2.74,0.0,64,0.0
mc_R011608_005_c3.txt,3,M-Lin2015,6966.0,6572.2,5.99,0.0,0,0.614
mc_R021606_001_c2.txt,2,ZS+S2,12130.5,11315.4,7.2,0.0,82,0.0
mc_R021606_001_c2.txt,2,M-Lin2015,13979.7,11315.4,23.55,0.0,0,0.978
mc_R021606_001_c3.txt,3,ZS+S2,12174.0,11441.2,6.4,0.0,82,0.0
mc_R021606_001_c3.txt,3,M-Lin2015,13979.7,11441.2,22.19,0.0,0,0.967
mc_R021606_002_c2.txt,2,ZS+S2,11529.6,10754.5,7.21,0.0,77,0.0
mc_R021606_002_c2.txt,2,M-Lin2015,13254.3,10754.5,23.24,0.0,0,0.876
mc_R021606_002_c3.txt,3,ZS+S2,11573.1,10860.0,6.57,0.0,77,0.0
mc_R021606_002_c3.txt,3,M-Lin2015,13254.3,10860.0,22.05,0.0,0,0.871
mc_R021606_003_c2.txt,2,ZS+S2,11742.6,11438.0,2.66,0.0,82,0.0
mc_R021606_003_c2.txt,2,M-Lin2015,15763.2,11438.0,37.81,0.0,0,1.016
mc_R021606_003_c3.txt,3,ZS+S2,11786.1,11569.3,1.87,0.0,82,0.0
mc_R021606_003_c3.txt,3,M-Lin2015,15763.2,11569.3,36.25,0.0,0,0.981
mc_R021606_004_c2.txt,2,ZS+S2,12688.8,11691.8,8.53,0.0,98,0.0
mc_R021606_004_c2.txt,2,M-Lin2015,15775.2,11691.8,34.93,0.0,0,1.127
mc_R021606_004_c3.txt,3,ZS+S2,12732.3,11837.9,7.56,0.0,98,0.0
mc_R021606_004_c3.txt,3,M-Lin2015,15775.2,11837.9,33.26,0.0,0,1.128
mc_R021606_005_c2.txt,2,ZS+S2,11529.6,11238.9,2.59,0.0,86,0.0
