instance,bays,tiers,id,lb,Random_cost,Random_gap,Random_time,NearestStack_cost,NearestStack_gap,NearestStack_time,LowestHeight_cost,LowestHeight_gap,LowestHeight_time,Leveling_cost,Leveling_gap,Leveling_time,Lin2015_cost,Lin2015_gap,Lin2015_time,Kim2016_cost,Kim2016_gap,Kim2016_time,Durasevic2025_cost,Durasevic2025_gap,Durasevic2025_time,ZeroShot_cost,ZeroShot_gap
R011606_0070_001,1,6,1,4520.4,6685.2,47.89,0.063,5775.6,27.77,0.074,5715.6,26.44,0.066,5432.4,20.18,0.108,4771.2,5.55,0.101,5103.6,12.9,0.091,5184.0,14.68,0.116,4713.6,4.27
R011606_0070_002,1,6,2,4544.4,7197.6,58.38,0.076,6716.4,47.8,0.094,5922.0,30.31,0.064,5886.0,29.52,0.136,4928.4,8.45,0.099,5295.6,16.53,0.17,5338.8,17.48,0.11,4848.0,6.68
R011606_0070_003,1,6,3,4599.6,6999.6,52.18,0.076,6213.6,35.09,0.074,5997.6,30.39,0.059,6008.4,30.63,0.146,5092.8,10.72,0.085,5052.0,9.84,0.094,5439.6,18.26,0.133,4792.8,4.2
R011606_0070_004,1,6,4,4714.8,7954.8,68.72,0.093,6873.6,45.79,0.099,6774.0,43.68,0.069,6763.2,43.45,0.159,5256.0,11.48,0.121,5853.6,24.15,0.107,5947.2,26.14,0.143,5114.4,8.48
R011606_0070_005,1,6,5,4558.8,7197.6,57.88,0.074,6430.8,41.06,0.073,5938.8,30.27,0.064,5971.2,30.98,0.186,5067.6,11.16,0.174,5707.2,25.19,0.182,5426.4,19.03,0.212,4881.6,7.08
R011608_0090_001,1,8,1,6146.4,11020.8,79.3,0.22,8863.2,44.2,0.225,8428.8,37.13,0.171,8670.0,41.06,0.41,7021.2,14.23,0.273,7257.6,18.08,0.258,7610.4,23.82,0.363,6802.8,10.68
R011608_0090_002,1,8,2,6094.8,9865.2,61.86,0.2,8796.0,44.32,0.221,8850.0,45.21,0.193,8378.4,37.47,0.369,6686.4,9.71,0.27,7533.6,23.61,0.265,7660.8,25.69,0.347,6666.0,9.37
R011608_0090_003,1,8,3,6386.4,10146.0,58.87,0.24,9837.6,54.04,0.289,8907.6,39.48,0.177,8982.0,40.64,0.276,7190.4,12.59,0.179,7305.6,14.39,0.159,8124.0,27.21,0.268,6912.0,8.23
R011608_0090_004,1,8,4,6234.0,9822.0,57.56,0.123,9514.8,52.63,0.151,8517.6,36.63,0.093,8260.8,32.51,0.203,6716.4,7.74,0.146,7340.4,17.75,0.126,7629.6,22.39,0.177,6607.2,5.99
R011608_0090_005,1,8,5,6180.0,10831.2,75.26,0.124,8930.4,44.5,0.13,9388.8,51.92,0.122,8906.4,44.12,0.25,6966.0,12.72,0.174,7429.2,20.21,0.147,7592.4,22.85,0.182,6752.4,9.26
