instance,n_cranes,method,cost,lb_mc,gap,interference,time_s
mc_R011606_001_c2.txt,2,M-Kim2016,5103.6,4686.9,8.89,0,0.104
mc_R011606_001_c2.txt,2,M-Leveling,5472.0,4686.9,16.75,0,0.19
mc_R011606_001_c3.txt,3,M-Kim2016,5125.2,4742.4,8.07,0,0.179
mc_R011606_001_c3.txt,3,M-Leveling,5432.4,4742.4,14.55,0,0.263
mc_R011606_002_c2.txt,2,M-Kim2016,5286.0,4733.1,11.68,0,0.211
mc_R011606_002_c2.txt,2,M-Leveling,5881.2,4733.1,24.26,0,0.418
mc_R011606_002_c3.txt,3,M-Kim2016,5310.0,4796.0,10.72,0,0.247
mc_R011606_002_c3.txt,3,M-Leveling,5886.0,4796.0,22.73,0,0.306
mc_R011606_003_c2.txt,2,M-Kim2016,5037.6,4788.3,5.21,0,0.215
mc_R011606_003_c2.txt,2,M-Leveling,5973.6,4788.3,24.75,0,0.322
mc_R011606_003_c3.txt,3,M-Kim2016,5052.0,4851.2,4.14,0,0.252
mc_R011606_003_c3.txt,3,M-Leveling,6033.6,4851.2,24.37,0,0.338
mc_R011606_004_c2.txt,2,M-Kim2016,5829.6,4925.7,18.35,0,0.243
mc_R011606_004_c2.txt,2,M-Leveling,6752.4,4925.7,37.09,0,0.373
mc_R011606_004_c3.txt,3,M-Kim2016,5935.2,4996.0,18.8,0,0.266
mc_R011606_004_c3.txt,3,M-Leveling,6847.2,4996.0,37.05,0,0.409
mc_R011606_005_c2.txt,2,M-Kim2016,5726.4,4758.6,20.34,0,0.218
mc_R011606_005_c2.txt,2,M-Leveling,5971.2,4758.6,25.48,0,0.312
mc_R011606_005_c3.txt,3,M-Kim2016,5707.2,4825.2,18.28,0,0.115
mc_R011606_005_c3.txt,3,M-Leveling,5971.2,4825.2,23.75,0,0.149
mc_R011608_001_c2.txt,2,M-Kim2016,7257.6,6440.5,12.69,0,0.209
mc_R011608_001_c2.txt,2,M-Leveling,8505.6,6440.5,32.06,0,0.335
mc_R011608_001_c3.txt,3,M-Kim2016,7257.6,6538.6,11.0,0,0.229
mc_R011608_001_c3.txt,3,M-Leveling,8679.6,6538.6,32.74,0,0.332
mc_R011608_002_c2.txt,2,M-Kim2016,7533.6,6366.8,18.33,0,0.211
mc_R011608_002_c2.txt,2,M-Leveling,8334.0,6366.8,30.9,0,0.312
mc_R011608_002_c3.txt,3,M-Kim2016,7490.4,6457.4,16.0,0,0.239
mc_R011608_002_c3.txt,3,M-Leveling,8334.0,6457.4,29.06,0,0.303
mc_R011608_003_c2.txt,2,M-Kim2016,7329.6,6675.0,9.81,0,0.221
mc_R011608_003_c2.txt,2,M-Leveling,9040.8,6675.0,35.44,0,0.356
mc_R011608_003_c3.txt,3,M-Kim2016,7224.0,6771.2,6.69,0,0.236
mc_R011608_003_c3.txt,3,M-Leveling,8991.6,6771.2,32.79,0,0.36
mc_R011608_004_c2.txt,2,M-Kim2016,7335.6,6528.1,12.37,0,0.2
mc_R011608_004_c2.txt,2,M-Leveling,8260.8,6528.1,26.54,0,0.318
mc_R011608_004_c3.txt,3,M-Kim2016,7318.8,6626.2,10.45,0,0.192
mc_R011608_004_c3.txt,3,M-Leveling,8246.4,6626.2,24.45,0,0.313
mc_R011608_005_c2.txt,2,M-Kim2016,7405.2,6474.1,14.38,0,0.226
mc_R011608_005_c2.txt,2,M-Leveling,8847.6,6474.1,36.66,0,0.364
mc_R011608_005_c3.txt,3,M-Kim2016,7390.8,6572.2,12.46,0,0.24
mc_R011608_005_c3.txt,3,M-Leveling,8874.0,6572.2,35.02,0,0.408
mc_R021606_001_c2.txt,2,M-Kim2016,16510.2,11315.4,45.91,0,0.37
mc_R021606_001_c2.txt,2,M-Leveling,14635.5,11315.4,29.34,0,0.583
mc_R021606_001_c3.txt,3,M-Kim2016,16567.8,11441.2,44.81,0,0.329
mc_R021606_001_c3.txt,3,M-Leveling,14628.3,11441.2,27.86,0,0.594
mc_R021606_002_c2.txt,2,M-Kim2016,15969.9,10754.5,48.49,0,0.348
mc_R021606_002_c2.txt,2,M-Leveling,14281.5,10754.5,32.79,0,0.593
mc_R021606_002_c3.txt,3,M-Kim2016,15620.1,10860.0,43.83,0,0.336
mc_R021606_002_c3.txt,3,M-Leveling,14190.3,10860.0,30.67,0,0.517
mc_R021606_003_c2.txt,2,M-Kim2016,16034.1,11438.0,40.18,0,0.329
mc_R021606_003_c2.txt,2,M-Leveling,14610.6,11438.0,27.74,0,0.562
mc_R021606_003_c3.txt,3,M-Kim2016,16034.1,11569.3,38.59,0,0.369
mc_R021606_003_c3.txt,3,M-Leveling,14734.2,11569.3,27.36,0,0.563
mc_R021606_004_c2.txt,2,M-Kim2016,17706.6,11691.8,51.45,0,0.387
mc_R021606_004_c2.txt,2,M-Leveling,15804.6,11691.8,35.18,0,0.633
mc_R021606_004_c3.txt,3,M-Kim2016,17880.6,11837.9,51.05,0,0.377
mc_R021606_004_c3.txt,3,M-Leveling,15772.2,11837.9,33.23,0,0.638
mc_R021606_005_c2.txt,2,M-Kim2016,16441.5,11238.9,46.29,0,0.33
mc_R021606_005_c2.txt,2,M-Leveling,14938.8,11238.9,32.92,0,0.634
mc_R021606_005_c3.txt,3,M-Kim2016,16752.9,11368.4,47.36,0,0.336
mc_R021606_005_c3.txt,3,M-Leveling,14899.2,11368.4,31.06,0,0.675
mc_R021608_001_c2.txt,2,M-Kim2016,25566.0,15641.0,63.46,0,0.586
mc_R021608_001_c2.txt,2,M-Leveling,23632.2,15641.0,51.09,0,1.121
mc_R021608_001_c3.txt,3,M-Kim2016,25392.0,15853.7,60.16,0,0.615
mc_R021608_001_c3.txt,3,M-Leveling,23951.4,15853.7,51.08,0,1.203
mc_R021608_002_c2.txt,2,M-Kim2016,25911.9,15133.7,71.22,0,0.625
mc_R021608_002_c2.txt,2,M-Leveling,22911.3,15133.7,51.39,0,1.138
mc_R021608_002_c3.txt,3,M-Kim2016,25746.3,15353.8,67.69,0,0.637
mc_R021608_002_c3.txt,3,M-Leveling,22992.9,15353.8,49.75,0,1.11
mc_R021608_003_c2.txt,2,M-Kim2016,24282.0,16095.9,50.86,0,0.566
mc_R021608_003_c2.txt,2,M-Leveling,23483.4,16095.9,45.9,0,1.089
mc_R021608_003_c3.txt,3,M-Kim2016,24052.2,16303.1,47.53,0,0.554
mc_R021608_003_c3.txt,3,M-Leveling,23687.4,16303.1,45.29,0,1.076
mc_R021608_004_c2.txt,2,M-Kim2016,23439.3,15524.0,50.99,0,0.632
mc_R021608_004_c2.txt,2,M-Leveling,23244.9,15524.0,49.74,0,1.386
mc_R021608_004_c3.txt,3,M-Kim2016,23480.1,15733.0,49.24,0,0.719
mc_R021608_004_c3.txt,3,M-Leveling,22980.9,15733.0,46.07,0,1.102
mc_R021608_005_c2.txt,2,M-Kim2016,25538.7,15828.3,61.35,0,0.617
mc_R021608_005_c2.txt,2,M-Leveling,23024.4,15828.3,45.46,0,1.149
mc_R021608_005_c3.txt,3,M-Kim2016,25828.8,16050.3,60.92,0,0.592
