instance,n_cranes,strategy,cost,lb_mc,gap,n_steps,interference,time_s
mc_R011606_001_c2.txt,2,S1,4713.6,4686.9,0.57,37,18.0,0.217
mc_R011606_001_c2.txt,2,S2,4713.6,4686.9,0.57,37,0.0,0.209
mc_R011606_001_c2.txt,2,S3,4713.6,4686.9,0.57,37,18.0,0.213
mc_R011606_001_c2.txt,2,S4,4713.6,4686.9,0.57,37,0.0,0.202
mc_R011606_001_c2.txt,3,S1,4713.6,4742.4,-0.61,37,24.0,0.225
mc_R011606_001_c2.txt,3,S2,4713.6,4742.4,-0.61,37,0.0,0.215
mc_R011606_001_c2.txt,3,S3,4713.6,4742.4,-0.61,37,24.0,0.213
mc_R011606_001_c2.txt,3,S4,4713.6,4742.4,-0.61,37,0.0,0.217
mc_R011606_001_c3.txt,2,S1,4713.6,4686.9,0.57,37,18.0,0.211
mc_R011606_001_c3.txt,2,S2,4713.6,4686.9,0.57,37,0.0,0.228
mc_R011606_001_c3.txt,2,S3,4713.6,4686.9,0.57,37,18.0,0.252
mc_R011606_001_c3.txt,2,S4,4713.6,4686.9,0.57,37,0.0,0.267
mc_R011606_001_c3.txt,3,S1,4713.6,4742.4,-0.61,37,24.0,0.275
mc_R011606_001_c3.txt,3,S2,4713.6,4742.4,-0.61,37,0.0,0.236
mc_R011606_001_c3.txt,3,S3,4713.6,4742.4,-0.61,37,24.0,0.228
mc_R011606_001_c3.txt,3,S4,4713.6,4742.4,-0.61,37,0.0,0.246
mc_R011606_002_c2.txt,2,S1,4848.0,4733.1,2.43,38,19.0,0.227
mc_R011606_002_c2.txt,2,S2,4848.0,4733.1,2.43,38,0.0,0.225
mc_R011606_002_c2.txt,2,S3,4848.0,4733.1,2.43,38,19.0,0.218
mc_R011606_002_c2.txt,2,S4,4848.0,4733.1,2.43,38,0.0,0.208
mc_R011606_002_c2.txt,3,S1,4848.0,4796.0,1.08,38,25.0,0.239
mc_R011606_002_c2.txt,3,S2,4848.0,4796.0,1.08,38,0.0,0.211
mc_R011606_002_c2.txt,3,S3,4848.0,4796.0,1.08,38,25.0,0.214
mc_R011606_002_c2.txt,3,S4,4848.0,4796.0,1.08,38,0.0,0.213
mc_R011606_002_c3.txt,2,S1,4848.0,4733.1,2.43,38,19.0,0.219
mc_R011606_002_c3.txt,2,S2,4848.0,4733.1,2.43,38,0.0,0.209
mc_R011606_002_c3.txt,2,S3,4848.0,4733.1,2.43,38,19.0,0.21
mc_R011606_002_c3.txt,2,S4,4848.0,4733.1,2.43,38,0.0,0.215
mc_R011606_002_c3.txt,3,S1,4848.0,4796.0,1.08,38,25.0,0.228
mc_R011606_002_c3.txt,3,S2,4848.0,4796.0,1.08,38,0.0,0.211
mc_R011606_002_c3.txt,3,S3,4848.0,4796.0,1.08,38,25.0,0.23
mc_R011606_002_c3.txt,3,S4,4848.0,4796.0,1.08,38,0.0,0.224
mc_R011606_003_c2.txt,2,S1,4792.8,4788.3,0.09,41,20.0,0.268
mc_R011606_003_c2.txt,2,S2,4792.8,4788.3,0.09,41,0.0,0.27
mc_R011606_003_c2.txt,2,S3,4792.8,4788.3,0.09,41,20.0,0.24
mc_R011606_003_c2.txt,2,S4,4792.8,4788.3,0.09,41,0.0,0.232
mc_R011606_003_c2.txt,3,S1,4792.8,4851.2,-1.2,41,27.0,0.229
mc_R011606_003_c2.txt,3,S2,4792.8,4851.2,-1.2,41,0.0,0.244
mc_R011606_003_c2.txt,3,S3,4792.8,4851.2,-1.2,41,27.0,0.244
mc_R011606_003_c2.txt,3,S4,4792.8,4851.2,-1.2,41,0.0,0.238
mc_R011606_003_c3.txt,2,S1,4792.8,4788.3,0.09,41,20.0,0.27
mc_R011606_003_c3.txt,2,S2,4792.8,4788.3,0.09,41,0.0,0.235
mc_R011606_003_c3.txt,2,S3,4792.8,4788.3,0.09,41,20.0,0.243
mc_R011606_003_c3.txt,2,S4,4792.8,4788.3,0.09,41,0.0,0.238
mc_R011606_003_c3.txt,3,S1,4792.8,4851.2,-1.2,41,27.0,0.338
mc_R011606_003_c3.txt,3,S2,4792.8,4851.2,-1.2,41,0.0,0.267
mc_R011606_003_c3.txt,3,S3,4792.8,4851.2,-1.2,41,27.0,0.254
mc_R011606_003_c3.txt,3,S4,4792.8,4851.2,-1.2,41,0.0,0.251
mc_R011606_004_c2.txt,2,S1,5114.4,4925.7,3.83,49,24.0,0.273
mc_R011606_004_c2.txt,2,S2,5114.4,4925.7,3.83,49,0.0,0.276
mc_R011606_004_c2.txt,2,S3,5114.4,4925.7,3.83,49,24.0,0.297
mc_R011606_004_c2.txt,2,S4,5114.4,4925.7,3.83,49,0.0,0.278
mc_R011606_004_c2.txt,3,S1,5114.4,4996.0,2.37,49,32.0,0.297
mc_R011606_004_c2.txt,3,S2,5114.4,4996.0,2.37,49,0.0,0.292
mc_R011606_004_c2.txt,3,S3,5114.4,4996.0,2.37,49,32.0,0.296
mc_R011606_004_c2.txt,3,S4,5114.4,4996.0,2.37,49,0.0,0.314
mc_R011606_004_c3.txt,2,S1,5114.4,4925.7,3.83,49,24.0,0.279
mc_R011606_004_c3.txt,2,S2,5114.4,4925.7,3.83,49,0.0,0.298
mc_R011606_004_c3.txt,2,S3,5114.4,4925.7,3.83,49,24.0,0.294
mc_R011606_004_c3.txt,2,S4,5114.4,4925.7,3.83,49,0.0,0.295
mc_R011606_004_c3.txt,3,S1,5114.4,4996.0,2.37,49,32.0,0.302
mc_R011606_004_c3.txt,3,S2,5114.4,4996.0,2.37,49,0.0,0.293
mc_R011606_004_c3.txt,3,S3,5114.4,4996.0,2.37,49,32.0,0.319
mc_R011606_004_c3.txt,3,S4,5114.4,4996.0,2.37,49,0.0,0.302
mc_R011606_005_c2.txt,2,S1,4881.6,4758.6,2.58,42,21.0,0.262
mc_R011606_005_c2.txt,2,S2,4881.6,4758.6,2.58,42,0.0,0.251
mc_R011606_005_c2.txt,2,S3,4881.6,4758.6,2.58,42,21.0,0.271
mc_R011606_005_c2.txt,2,S4,4881.6,4758.6,2.58,42,0.0,0.26
mc_R011606_005_c2.txt,3,S1,4881.6,4825.2,1.17,42,28.0,0.488
mc_R011606_005_c2.txt,3,S2,4881.6,4825.2,1.17,42,0.0,0.276
mc_R011606_005_c2.txt,3,S3,4881.6,4825.2,1.17,42,28.0,0.285
mc_R011606_005_c2.txt,3,S4,4881.6,4825.2,1.17,42,0.0,0.274
mc_R011606_005_c3.txt,2,S1,4881.6,4758.6,2.58,42,21.0,0.274
mc_R011606_005_c3.txt,2,S2,4881.6,4758.6,2.58,42,0.0,0.281
mc_R011606_005_c3.txt,2,S3,4881.6,4758.6,2.58,42,21.0,0.261
mc_R011606_005_c3.txt,2,S4,4881.6,4758.6,2.58,42,0.0,0.256
mc_R011606_005_c3.txt,3,S1,4881.6,4825.2,1.17,42,28.0,0.275
mc_R011606_005_c3.txt,3,S2,4881.6,4825.2,1.17,42,0.0,0.26
mc_R011606_005_c3.txt,3,S3,4881.6,4825.2,1.17,42,28.0,0.246
mc_R011606_005_c3.txt,3,S4,4881.6,4825.2,1.17,42,0.0,0.249
mc_R011608_001_c2.txt,2,S1,6802.8,6440.5,5.62,69,34.0,0.472
mc_R011608_001_c2.txt,2,S2,6802.8,6440.5,5.62,69,0.0,0.455
mc_R011608_001_c2.txt,2,S3,6802.8,6440.5,5.62,69,34.0,0.544
mc_R011608_001_c2.txt,2,S4,6802.8,6440.5,5.62,69,0.0,0.443
mc_R011608_001_c2.txt,3,S1,6802.8,6538.6,4.04,69,46.0,0.458
mc_R011608_001_c2.txt,3,S2,6802.8,6538.6,4.04,69,0.0,0.451
mc_R011608_001_c2.txt,3,S3,6802.8,6538.6,4.04,69,46.0,0.461
mc_R011608_001_c2.txt,3,S4,6802.8,6538.6,4.04,69,0.0,0.434
mc_R011608_001_c3.txt,2,S1,6802.8,6440.5,5.62,69,34.0,0.432
mc_R011608_001_c3.txt,2,S2,6802.8,6440.5,5.62,69,0.0,0.473
mc_R011608_001_c3.txt,2,S3,6802.8,6440.5,5.62,69,34.0,0.438
mc_R011608_001_c3.txt,2,S4,6802.8,6440.5,5.62,69,0.0,0.425
mc_R011608_001_c3.txt,3,S1,6802.8,6538.6,4.04,69,46.0,0.427
mc_R011608_001_c3.txt,3,S2,6802.8,6538.6,4.04,69,0.0,0.448
mc_R011608_001_c3.txt,3,S3,6802.8,6538.6,4.04,69,46.0,0.464
mc_R011608_001_c3.txt,3,S4,6802.8,6538.6,4.04,69,0.0,0.433
mc_R011608_002_c2.txt,2,S1,6666.0,6366.8,4.7,64,32.0,0.446
mc_R011608_002_c2.txt,2,S2,6666.0,6366.8,4.7,64,0.0,0.376
mc_R011608_002_c2.txt,2,S3,6666.0,6366.8,4.7,64,32.0,0.419
mc_R011608_002_c2.txt,2,S4,6666.0,6366.8,4.7,64,0.0,0.412
mc_R011608_002_c2.txt,3,S1,6666.0,6457.4,3.23,64,42.0,0.428
mc_R011608_002_c2.txt,3,S2,6666.0,6457.4,3.23,64,0.0,0.415
mc_R011608_002_c2.txt,3,S3,6666.0,6457.4,3.23,64,42.0,0.396
mc_R011608_002_c2.txt,3,S4,6666.0,6457.4,3.23,64,0.0,0.434
mc_R011608_002_c3.txt,2,S1,6666.0,6366.8,4.7,64,32.0,0.419
mc_R011608_002_c3.txt,2,S2,6666.0,6366.8,4.7,64,0.0,0.398
mc_R011608_002_c3.txt,2,S3,6666.0,6366.8,4.7,64,32.0,0.422
mc_R011608_002_c3.txt,2,S4,6666.0,6366.8,4.7,64,0.0,0.41
mc_R011608_002_c3.txt,3,S1,6666.0,6457.4,3.23,64,42.0,0.405
mc_R011608_002_c3.txt,3,S2,6666.0,6457.4,3.23,64,0.0,0.387
mc_R011608_002_c3.txt,3,S3,6666.0,6457.4,3.23,64,42.0,0.429
mc_R011608_002_c3.txt,3,S4,6666.0,6457.4,3.23,64,0.0,0.397
mc_R011608_003_c2.txt,2,S1,6912.0,6675.0,3.55,70,35.0,0.453
mc_R011608_003_c2.txt,2,S2,6912.0,6675.0,3.55,70,0.0,0.433
mc_R011608_003_c2.txt,2,S3,6912.0,6675.0,3.55,70,35.0,0.435
mc_R011608_003_c2.txt,2,S4,6912.0,6675.0,3.55,70,0.0,0.449
mc_R011608_003_c2.txt,3,S1,6912.0,6771.2,2.08,70,46.0,0.491
mc_R011608_003_c2.txt,3,S2,6912.0,6771.2,2.08,70,0.0,0.472
mc_R011608_003_c2.txt,3,S3,6912.0,6771.2,2.08,70,46.0,0.467
mc_R011608_003_c2.txt,3,S4,6912.0,6771.2,2.08,70,0.0,0.456
mc_R011608_003_c3.txt,2,S1,6912.0,6675.0,3.55,70,35.0,0.461
mc_R011608_003_c3.txt,2,S2,6912.0,6675.0,3.55,70,0.0,0.441
mc_R011608_003_c3.txt,2,S3,6912.0,6675.0,3.55,70,35.0,0.523
mc_R011608_003_c3.txt,2,S4,6912.0,6675.0,3.55,70,0.0,0.497
mc_R011608_003_c3.txt,3,S1,6912.0,6771.2,2.08,70,46.0,0.449
mc_R011608_003_c3.txt,3,S2,6912.0,6771.2,2.08,70,0.0,0.452
mc_R011608_003_c3.txt,3,S3,6912.0,6771.2,2.08,70,46.0,0.438
